image,label,llr_t50,llr_t100,llr_t150,llr_t200,llr_t300,llr_t400,llr_t500,llr_t750,fold,split_seed,idea2_score
members/member_337.png,1,0.7769917179295276,0.6665092643744241,0.408952275116532,0.5781494873482727,-0.12721331697195204,-0.13596840176224756,-5.69656904616792,7.545753856505797,1,11,0.49708902177545766
members/member_112.png,1,0.24702790441632372,0.14874275685305305,0.22354459098763302,-0.02454321726694708,0.35737843250963675,0.10798066739884415,0.15973335111958775,0.025496725580257618,1,11,0.5371451446229979
members/member_252.png,1,-0.7295953319510913,-1.0070229700767657,-1.3128435584734812,-0.47731000598607487,-0.5200640635205751,-0.07893683419649378,0.044208118706598576,-0.06557539175614213,1,11,0.4480783081535603
members/member_139.png,1,0.3835750613053208,0.25594283231091497,-0.4441151183393224,-0.40468230275759076,-0.27085345119416093,0.46670120364111867,0.19189287888209705,-0.13483905559106102,1,11,0.5299940450560489
members/member_83.png,1,0.4817065108470442,0.2624555406408611,0.38190973822630925,0.1907359137602378,0.23747965309023655,-0.2733661306104249,-0.13891505377161018,-0.2109459486354215,1,11,0.48689974808121267
nonmember_91.png,0,0.4896607076656303,0.3956490587471726,0.6018466035512091,0.6103059688377317,-0.003977703285798384,0.373122588943815,0.1581029364732478,-0.07442387603607958,1,11,0.5426315586133919
nonmember_149.png,0,0.6109666763136254,0.49318021699379067,0.5984786715629724,0.42622588830508334,0.17292248387292197,-0.012544580830253338,0.026058681586357935,-0.08786536032438264,1,11,0.5202378211022564
members/member_170.png,1,0.5523899358188933,0.46547924363735493,0.48167752176333956,0.3064969777841968,-0.061617592196737014,-0.0412303898297921,-0.058104664035122155,0.14439091244501956,1,11,0.512602240012919
nonmember_17.png,0,-0.5244842817365427,-0.21275574206181158,-0.21161827966746438,0.046106295387296825,-0.09881462795854112,-0.1575469764928581,0.08320223688777428,-0.36331678093151254,1,11,0.4622750729716362
nonmember_499.png,0,-1.880281295459906,-0.8200771323167408,-0.9240955257729762,-0.7184285800957042,0.08728248679957851,0.20062865474835911,0.16599171176719185,-1.8421641138833236,1,11,0.4013397738938582
